station_id,"latitude (degree)","longitude (degree)",constituent_number,name,"amplitude (meters)","phase (degrees in GMT)","speed (degrees/hour)"
1611347,21.9033,-159.5920,1,M2,0.159,44.1,28.9841042
1611347,21.9033,-159.5920,2,S2,0.066,38.3,30.0000000
1611347,21.9033,-159.5920,3,N2,0.030,38.3,28.4397295
1611347,21.9033,-159.5920,4,K1,0.164,226.5,15.0410686
1611347,21.9033,-159.5920,5,M4,0.000,0.0,57.9682084
1611347,21.9033,-159.5920,6,O1,0.086,221.5,13.9430356
1611347,21.9033,-159.5920,7,M6,0.000,0.0,86.9523127
1611347,21.9033,-159.5920,8,MK3,0.000,0.0,44.0251729
1611347,21.9033,-159.5920,9,S4,0.000,0.0,60.0000000
1611347,21.9033,-159.5920,10,MN4,0.000,0.0,57.4238337
1611347,21.9033,-159.5920,11,NU2,0.005,25.2,28.5125831
1611347,21.9033,-159.5920,12,S6,0.000,0.0,90.0000000
1611347,21.9033,-159.5920,13,MU2,0.004,356.0,27.9682084
1611347,21.9033,-159.5920,14,2N2,0.003,45.0,27.8953548
1611347,21.9033,-159.5920,15,OO1,0.007,263.1,16.1391017
1611347,21.9033,-159.5920,16,LAM2,0.001,41.4,29.4556253
1611347,21.9033,-159.5920,17,S1,0.000,0.0,15.0000000
1611347,21.9033,-159.5920,18,M1,0.005,247.2,14.4966939
1611347,21.9033,-159.5920,19,J1,0.011,237.6,15.5854433
1611347,21.9033,-159.5920,20,MM,0.000,0.0,0.5443747
1611347,21.9033,-159.5920,21,SSA,0.000,0.0,0.0821373
1611347,21.9033,-159.5920,22,SA,0.049,192.1,0.0410686
1611347,21.9033,-159.5920,23,MSF,0.000,0.0,1.0158958
1611347,21.9033,-159.5920,24,MF,0.000,0.0,1.0980331
1611347,21.9033,-159.5920,25,RHO,0.003,219.4,13.4715145
1611347,21.9033,-159.5920,26,Q1,0.015,215.7,13.3986609
1611347,21.9033,-159.5920,27,T2,0.005,38.2,29.9589333
1611347,21.9033,-159.5920,28,R2,0.001,38.1,30.0410667
1611347,21.9033,-159.5920,29,2Q1,0.002,216.4,12.8542862
1611347,21.9033,-159.5920,30,P1,0.051,223.3,14.9589314
